id,name,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
82,Stir Fry,0.815,0.816,-5.474,0.269,0.00299,0.159,0.498,181.967,190288,4
83,HUMBLE.,0.908,0.621,-6.638,0.102,0.000282,0.0958,0.421,150.011,177000,4
84,Vaina Loca,0.754,0.805,-4.249,0.0752,0.315,0.203,0.555,93.983,176133,4
85,Perfect Duet (Ed Sheeran & Beyonc?),0.587,0.299,-7.365,0.0263,0.779,0.123,0.356,94.992,259550,3
86,Coraz?n (feat. Nego do Borel),0.722,0.738,-6.073,0.247,0.328,0.198,0.748,198.075,184720,4
87,Young Dumb & Broke,0.798,0.539,-6.351,0.0421,0.199,0.165,0.394,136.949,202547,4
88,S?guelo Bailando,0.855,0.664,-7.11,0.0607,0.165,0.0937,0.626,98.015,226800,4
89,Downtown,0.775,0.679,-4.985,0.135,0.18,0.068,0.619,166.008,193456,4
90,Bella,0.909,0.493,-6.688,0.0735,0.128,0.127,0.844,94.016,197120,4
91,Promises (with Sam Smith),0.781,0.768,-5.991,0.0394,0.0119,0.325,0.486,123.07,213309,4
92,Yes Indeed,0.964,0.346,-9.309,0.53,0.035,0.108,0.562,119.958,142273,4
93,I Like Me Better,0.752,0.505,-7.621,0.253,0.535,0.104,0.419,91.97,197437,4
94,This Is Me,0.284,0.704,-7.276,0.186,0.00583,0.0424,0.1,191.702,234707,4
95,Everybody Dies In Their Nightmares,0.734,0.57,-7.066,0.133,0.847,0.112,0.689,129.953,95467,4
96,Rewrite The Stars,0.684,0.619,-7.005,0.0386,0.0716,0.122,0.284,125.046,217440,4
97,I Miss You (feat. Julia Michaels),0.638,0.658,-6.318,0.0456,0.245,0.0919,0.33,105.076,205748,4
98,No Brainer,0.552,0.76,-4.706,0.342,0.0733,0.0865,0.639,135.702,260000,5
99,Dusk Till Dawn - Radio Edit,0.258,0.437,-6.593,0.039,0.101,0.106,0.0967,180.043,239000,4
100,Be Alright,0.553,0.586,-6.319,0.0362,0.697,0.0813,0.443,126.684,196373,4
